# system info address_decoder_top on 2023.02.16.09:33:18
system_info:
name,value
DEVICE,10CX220YF780I5G
DEVICE_FAMILY,Cyclone 10 GX
GENERATION_ID,0
#
#
# Files generated for address_decoder_top on 2023.02.16.09:33:18
files:
filepath,kind,attributes,module,is_top
sim/address_decoder_top.v,VERILOG,CONTAINS_INLINE_CONFIGURATION,address_decoder_top,true
altera_mm_interconnect_181/sim/address_decoder_top_altera_mm_interconnect_181_hhyhgxq.v,VERILOG,CONTAINS_INLINE_CONFIGURATION,address_decoder_top_altera_mm_interconnect_181_hhyhgxq,false
altera_mm_interconnect_181/sim/address_decoder_top_altera_mm_interconnect_181_mvzerxq.v,VERILOG,CONTAINS_INLINE_CONFIGURATION,address_decoder_top_altera_mm_interconnect_181_mvzerxq,false
altera_reset_controller_181/sim/altera_reset_controller.v,VERILOG,,altera_reset_controller,false
altera_reset_controller_181/sim/altera_reset_synchronizer.v,VERILOG,,altera_reset_controller,false
altera_reset_controller_181/sim/altera_reset_controller.sdc,SDC_ENTITY,NO_AUTO_INSTANCE_DISCOVERY NO_SDC_PROMOTION,altera_reset_controller,false
altera_merlin_master_translator_181/sim/address_decoder_top_altera_merlin_master_translator_181_mhudjri.sv,SYSTEM_VERILOG,,address_decoder_top_altera_merlin_master_translator_181_mhudjri,false
altera_merlin_slave_translator_181/sim/address_decoder_top_altera_merlin_slave_translator_181_5aswt6a.sv,SYSTEM_VERILOG,,address_decoder_top_altera_merlin_slave_translator_181_5aswt6a,false
altera_merlin_master_agent_181/sim/address_decoder_top_altera_merlin_master_agent_181_t5eyqrq.sv,SYSTEM_VERILOG,,address_decoder_top_altera_merlin_master_agent_181_t5eyqrq,false
altera_merlin_slave_agent_181/sim/address_decoder_top_altera_merlin_slave_agent_181_a7g37xa.sv,SYSTEM_VERILOG,,address_decoder_top_altera_merlin_slave_agent_181_a7g37xa,false
